factory_name,allegation_count,latest_date,total_affected,all_issues,buyers,label_child_labour,label_forced_labour,label_discrimination,label_freedom_of_association,label_working_hours,label_compensation,label_osh,label_contracts,factory_lower,os_id,osh_name_matched,match_score
China Morning (Myanmar),1,2022-08-03,0.0,"['Business-military collusion', 'Unfair dismissal']",,0,0,0,0,0,0,0,0,china morning (myanmar),MM2025087TPGE33,China Morning (Myanmar) Company Limited.,90.0
Chu Yang,2,2024-08-23,0.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Unfair dismissal', 'Harassment intimidation and abuse']","Bonprix (part of Otto Group) (Former buyer),Otto (Former buyer)",0,1,1,1,0,1,0,0,chu yang,MM2023063SFVDVN,Chu Yang Myanmar Garment Company Limited,90.0
Clotho Yangon,1,2023-04-03,1000.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Denial of leave', 'Denial of permanent contracts', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Boardriders (Buyer),Callaway Golf (Buyer),Herschel (Former buyer),Ogio (part of Topgolf Callaway Brands) (Buyer),Quicksilver (part of Boardriders) (Buyer),Roxy (part of Boardriders) (Buyer)",0,1,1,0,1,1,1,1,clotho yangon,,,
Cotton Textile Garment (Myanmar),1,2022-11-05,1000.0,['Reduced wages and wage theft'],,0,0,0,0,0,1,0,0,cotton textile garment (myanmar),,,
Dangxin Garment (Myanmar),1,2022-10-21,200.0,['Unfair dismissal'],Terranova (Buyer),0,0,0,0,0,0,0,0,dangxin garment (myanmar),,,
De Xin,3,2024-08-13,500.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Frasers Group (Buyer),Prenatal (Buyer),Voyager (Buyer)",0,1,1,0,1,1,1,0,de xin,,,
Delta Mate,1,2023-12-23,1000.0,['Reduced wages and wage theft'],Guess (Buyer),0,0,0,0,0,1,0,0,delta mate,MM2023002F40SEX,"Delta Mate Myanmar Co.,Ltd",90.0
Diamond Sea Sar Garment,1,2024-01-04,200.0,"['Denial of leave', 'Unsafe working conditions', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']",,0,0,0,0,1,1,1,0,diamond sea sar garment,,,
Dishang,3,2024-05-17,2200.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of permanent contracts', 'Unfair dismissal', 'Harassment intimidation and abuse']","Bestseller (Buyer),Inditex (Reported buyer),Mango (Reported buyer),ONLY (part of Bestseller) (Buyer),Pimkie (part of Association Familiale Mulliez) (Former buyer)",0,1,1,0,1,1,0,1,dishang,MM2020281B5FJ1V,"Dishang Kenny (Myanmar) Garment Co., Ltd",90.0
Dishang Kenny (Dishang Group),4,2024-04-22,2340.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unfair dismissal', 'Unsafe working conditions']","Bestseller (Reported buyer),Inditex (Reported buyer),K-Way (part of BasicNet) (Buyer),Kiabi (Buyer),LPP Spółka Akcyjna (Reported buyer),ONLY (part of Bestseller) (Reported buyer),Reserved (part of LPP Spółka Akcyjna) (Reported buyer),Shimamura (Buyer),Zara (part of Inditex) (Reported buyer); Bestseller (Reported buyer),Inditex (Reported buyer),K-Way (part of BasicNet) (Buyer),Kiabi (Buyer),LPP Spółka Akcyjna (Reported buyer),ONLY (part of Bestseller) (Reported buyer),Reserved (part of LPP Spółka Akcyjna) (Reported buyer),Zara (part of Inditex) (Reported buyer)",0,0,1,0,1,1,1,1,dishang kenny (dishang group),,,
Dong Long (Pathein) Garment Company,2,2024-08-17,4000.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Killings', 'Denial of leave', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Lidl (Former buyer),MUJI (part of Ryohin Keikaku) (Former buyer),Zhejiang Semir Garment (Buyer); Lidl (Buyer),MUJI (part of Ryohin Keikaku) (Former buyer)",0,1,1,0,1,1,1,0,dong long (pathein) garment company,,,
Dong Sheng Xing Apparel (formerly GYSen Myanmar (2)),1,2024-01-03,0.0,"['Gender-based violence and harassment', 'Unfair dismissal', 'Inhumane work rates and mandatory overtime']",,0,0,1,0,1,0,0,0,dong sheng xing apparel (formerly gysen myanmar (2)),,,
Dong Yu Garment,2,2022-01-13,1000.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Unfair dismissal']",Bestseller (Buyer),0,0,1,1,1,1,0,0,dong yu garment,MM2020043AVRFSA,"Dong Yu Garment Co., Ltd.",90.0
Dongxin Garment,7,2024-08-29,702.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Surveillance', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Alpen Group (Buyer),Burtle (Buyer),LC Waikiki (Former buyer),Voyager (Buyer),Workman (Buyer); LC Waikiki (Former buyer),Voyager (Buyer)",0,1,1,1,1,1,1,1,dongxin garment,,,
E&P Fashion,3,2024-02-11,800.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unsafe working conditions', 'Harassment intimidation and abuse']","LPP Spółka Akcyjna (Reported buyer),Mohito (part of LPP S.A.) (Reported buyer),OVS SpA (Reported buyer),Sinsay (part of LPP S.A.) (Reported buyer); LPP Spółka Akcyjna (Reported buyer),OVS SpA (Reported buyer),Sinsay (part of LPP S.A.) (Reported buyer)",0,1,1,1,1,1,1,1,e&p fashion,,,
EMC Manufacturing,1,2022-08-02,0.0,"['Business-military collusion', 'Unfair dismissal']",,0,0,0,0,0,0,0,0,emc manufacturing,,,
Erdos Myanmar,3,2024-04-22,6.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Child labour', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Edinburgh Woollen Mill (Buyer),Just Cashmere (Buyer),Marks & Spencer (Reported buyer)",1,1,1,0,1,1,1,0,erdos myanmar,MM2022305XBR0AJ,Erdos Myanmar Knitwear Company Limited.,90.0
Eslite Garment,2,2022-09-19,2700.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Harassment intimidation and abuse']",Carhartt (Buyer),0,1,1,1,1,1,0,0,eslite garment,MM2019087FVFW0A,Eslite Garment Company Ltd,90.0
Eternal Fashion,7,2024-10-29,30046.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Intersport (Buyer),TOREAD (Buyer),Zhejiang Semir Garment (Buyer); Intersport (Buyer)",0,1,1,1,1,1,1,0,eternal fashion,MM2023229K94ZZC,"Eternal Fashion Co., Ltd.",90.0
Evertex Myanmar Garment,1,2021-11-15,300.0,['Reduced wages and wage theft'],,0,0,0,0,0,1,0,0,evertex myanmar garment,,,
Feng Teng Garment,1,2024-07-23,500.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Child labour', 'Harassment intimidation and abuse']",,1,1,1,0,1,1,0,1,feng teng garment,MM2025087W02XZC,Feng Teng Garment Company Limited,90.0
Fitex (Myanmar) Garment Manufacturing,2,2023-03-17,1100.0,"['Denial of leave', 'Unfair dismissal', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']",New Yorker (Buyer),0,0,0,0,1,1,0,0,fitex (myanmar) garment manufacturing,MM2025087HYJANJ,Fitex (Myanmar) Garment Manufacturing Co.Ltd,95.0
Fook Hing (Shwe Kha Yu) Ltd,1,2023-01-30,1200.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Harassment intimidation and abuse']",Hunkemoller (Buyer),0,1,1,0,1,1,0,0,fook hing (shwe kha yu) ltd,MM20190913EVH7M,Fook Hing (Shwekhayu) Ltd.,96.0
Ford Glory,1,2023-09-11,500.0,"['Unsafe working conditions', 'Unfair dismissal', 'Inhumane work rates and mandatory overtime']","LPP Spółka Akcyjna (Buyer),Lidl (Buyer),Sinsay (part of LPP S.A.) (Buyer)",0,0,0,0,1,0,1,0,ford glory,MM20202302XNNHX,Ford Glory (Myanmar) Limited,90.0
Fuhua Garment,1,2023-03-09,1000.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Unsafe working conditions', 'Harassment intimidation and abuse']",,0,1,1,0,1,1,1,0,fuhua garment,MM20241376BY703,"GUOTAI FUHUA GARMENT (MYANMAR) CO., LTD.",90.0
Full Rong,1,2024-06-28,500.0,"['Unsafe working conditions', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']",,0,0,0,0,1,1,1,0,full rong,MM2025087KQ0X5Y,"Full Rong Garment Co., Ltd",90.0
Full Win Safety,1,2023-08-29,500.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unsafe working conditions', 'Harassment intimidation and abuse']","LPP Spółka Akcyjna (Buyer),Reserved (part of LPP Spółka Akcyjna) (Buyer)",0,1,1,0,1,1,1,0,full win safety,MM2025087ZVF779,"Myanmar Full Win Safety Co., Ltd",90.0
Fullway Myanmar Clothing,2,2024-03-05,397.0,"['Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unfair dismissal', 'Unsafe working conditions']",Fristads (Former buyer),0,0,0,0,1,1,1,0,fullway myanmar clothing,MM2025087PR2CXB,Fullway Myanmar Clothing Company Limited.,90.0
Fuu Baii Houng Industrial,1,2024-06-17,400.0,"['Unsafe working conditions', 'Harassment intimidation and abuse', 'Child labour', 'Inhumane work rates and mandatory overtime']","LPP Spółka Akcyjna (Reported buyer),Sinsay (part of LPP S.A.) (Reported buyer)",1,1,0,0,1,0,1,0,fuu baii houng industrial,MM2025087N0K7JK,Fuu Baii Houng Industrial Company Limited,90.0
G&B Manufacturing Myanmar,2,2023-03-23,0.0,"['Harassment intimidation and abuse', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']","Bershka (part of Inditex) (Reported buyer),Inditex (Reported buyer),LPP Spółka Akcyjna (Buyer),OVS SpA (Buyer),Sinsay (part of LPP S.A.) (Buyer)",0,1,1,0,1,1,0,0,g&b manufacturing myanmar,MM2021026W9HCZ8,G&B MANUFACTURING MYANMAR CO.LTD     ,95.0
GNS (Bago) Healthcare,5,2023-11-14,902.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Child labour', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']",,1,1,1,1,1,1,1,0,gns (bago) healthcare,,,
GTIG Eastar Garment (Myanmar) Company Limited,4,2024-04-20,4921.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","C&A (Former buyer),Calliope (Buyer),HK Works London (Buyer),House (part of LPP S.A) (Buyer),Inditex (Reported buyer),Kiabi (Former buyer),LPP Spółka Akcyjna (Buyer),Lidl (Former buyer),OVS SpA (Former buyer),Tesco (Former buyer),Zara (part of Inditex) (Reported buyer); C&A (Former buyer),Calliope (Buyer),HK Works London (Buyer),House (part of LPP S.A) (Buyer),Kiabi (Former buyer),LPP Spółka Akcyjna (Buyer),Lidl (Former buyer),OVS SpA (Former buyer),Tesco (Former buyer)",0,1,1,0,1,1,1,0,gtig eastar garment (myanmar) company limited,MM2025087B7R0HD,GTIG Easter Garment Myanmar Company Limited,95.0
GTIG Guohua Glory Garment,1,2024-05-25,1.0,"['Denial of permanent contracts', 'Unfair dismissal', 'Reduced wages and wage theft']","Benetton Group (Buyer),Bestseller (Buyer),Mango (Reported buyer)",0,0,0,0,0,1,0,1,gtig guohua glory garment,,,
GTIG HUBO,1,2023-08-25,0.0,['Inhumane work rates and mandatory overtime'],"Bestseller (Buyer),Fast Retailing (Former buyer),Pimkie (part of Association Familiale Mulliez) (Former buyer)",0,0,0,0,1,0,0,0,gtig hubo,MM2020043GNXCSC,"GTIG Hubo Co., Ltd.",90.0
GTIG Huasheng (Myanmar),4,2023-03-08,1760.0,"['Attacks on freedom of association', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unfair dismissal']","Primark (part of Associated British Foods) (Former buyer); PEP&CO (Buyer),Primark (part of Associated British Foods) (Former buyer)",0,0,0,1,1,1,0,0,gtig huasheng (myanmar),MM2020148AXHRWQ,GTIG Huasheng Myanmar Co Ltd,95.0
GY Sen,2,2023-03-08,1000.0,"['Harassment intimidation and abuse', 'Business-military collusion', 'Unfair dismissal', 'Reduced wages and wage theft']",Primark (part of Associated British Foods) (Former buyer),0,1,0,0,0,1,0,0,gy sen,MM20230641M31CG,Gy Sen (Myanmar) Apparel Company Limited,90.0
GYSEN (Myanmar) Apparel Co. Ltd,6,2024-09-19,2411.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Dunnes Stores (Buyer),PEP&CO (Former buyer); Dunnes Stores (Buyer),PEP&CO (Reported buyer)",0,1,1,1,1,1,1,0,gysen (myanmar) apparel co. ltd,,,
Gainway International (Myanmar),2,2024-05-14,1400.0,"['Unsafe working conditions', 'Harassment intimidation and abuse', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']","Carrefour (Former buyer),Etam Groupe (Buyer),Hennes & Mauritz (H&M) (Former buyer),Kiabi (Former buyer),Primark (part of Associated British Foods) (Former buyer),Tesco (Reported buyer); Carrefour (Former buyer),Etam Groupe (Buyer),Hennes & Mauritz (H&M) (Reported buyer),Kiabi (Former buyer),Primark (part of Associated British Foods) (Former buyer),Tesco (Reported buyer)",0,1,0,0,1,1,1,0,gainway international (myanmar),MM20190837R58ZW,"Gainway International (Myanmar) Garment Co.,Ltd",90.0
Galaxy Myanmar,1,2023-09-29,350.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Body Guard (part of Fastenal Brands) (Buyer),Clique (part of New Wave Group) (Former buyer),Fastenal Brands (Buyer),New Wave Group (Former buyer),Roly (Buyer),Worko (Buyer)",0,1,1,0,1,1,1,1,galaxy myanmar,,,
Gaotai Garments (Myanmar),1,2023-03-02,0.0,"['Harassment intimidation and abuse', 'Gender-based violence and harassment', 'Unfair dismissal']","LPP Spółka Akcyjna (Buyer),Sinsay (part of LPP S.A.) (Buyer)",0,1,1,0,0,0,0,0,gaotai garments (myanmar),,,
General Textile,1,2024-10-13,700.0,"['Unsafe working conditions', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']",Hennes & Mauritz (H&M) (Buyer),0,0,0,0,1,1,1,0,general textile,MM2021180MQDM7V,GENERAL TEXTILE (MYANMAR) APPAREL COMPANY LIMITED,90.0
Gibaek Myanmar,1,2023-09-25,300.0,"['Denial of leave', 'Unsafe working conditions', 'Unfair dismissal']",The RedFace (Buyer),0,0,0,0,1,0,1,0,gibaek myanmar,,,
Glamour Garment,1,2024-08-22,800.0,"['Attacks on freedom of association', 'Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Surveillance', 'Unsafe working conditions', 'Harassment intimidation and abuse']",Rosa Clará (Buyer),0,1,1,1,1,1,1,0,glamour garment,MM2025087S96WXK,"Glamour Garment Co., Ltd",90.0
Glory Fashion Factory (Myanmar),1,2022-04-26,1.0,"['Attacks on freedom of association', 'Harassment intimidation and abuse', 'Imprisonment arrests & detention']",,0,1,0,1,0,0,0,0,glory fashion factory (myanmar),,,
Gold Emperor,1,2024-06-28,2000.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unsafe working conditions', 'Harassment intimidation and abuse']",,0,1,1,0,1,1,1,0,gold emperor,,,
Golden Colour Fashion,2,2024-10-04,1000.0,"['Attacks on freedom of association', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Surveillance', 'Unsafe working conditions']","DeFacto (Buyer),Kappa (Buyer),Koton (Buyer)",0,0,0,1,1,1,1,0,golden colour fashion,,,
Golden Fashion,1,2023-10-17,900.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unsafe working conditions']",Benetton Group (Buyer),0,0,1,0,1,1,1,0,golden fashion,MM20241284XXHB7,Myanmar Huasheng Golden Fashion Company Limited,90.0
Golden Propitious (Myanmar) Garment,1,2024-08-31,1.0,"['Harassment intimidation and abuse', 'Gender-based violence and harassment', 'Unfair dismissal']","LPP Spółka Akcyjna (Reported buyer),Sinsay (part of LPP S.A.) (Reported buyer),Zhejiang Semir Garment (Buyer)",0,1,1,0,0,0,0,0,golden propitious (myanmar) garment,MM20250877C715J,"Golden Propitious (Myanmar) Garment Co., Ltd",95.0
Great One Myanmar,1,2022-11-09,600.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unfair dismissal', 'Harassment intimidation and abuse']","Bestseller (Former buyer),Jack & Jones (part of Bestseller) (Former buyer)",0,1,1,0,1,1,0,1,great one myanmar,MM2020043C2S2HZ,"Great One Myanmar Co., Ltd.",90.0
Great Summer (Myanmar) (formerly Cherry Apparel),3,2024-06-09,2600.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Surveillance', 'Unsafe working conditions', 'Harassment intimidation and abuse']",Workman (Buyer); FieldCore (Buyer),0,1,1,0,1,1,1,0,great summer (myanmar) (formerly cherry apparel),,,
Green Wings International,1,2022-08-03,0.0,"['Business-military collusion', 'Unfair dismissal']",,0,0,0,0,0,0,0,0,green wings international,,,
Guang Ming Garment,1,2023-06-27,0.0,"['Harassment intimidation and abuse', 'Child labour', 'Gender-based violence and harassment', 'Reduced wages and wage theft']",,1,1,1,0,0,1,0,0,guang ming garment,MM2025087011ZG3,"Guang Ming Garment Co., Ltd",90.0
Hakers Enterprise Myanmar,1,2023-06-16,0.0,"['Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime']","Lidl (Buyer),Regatta (Buyer),Tchibo (part of Maxingvest) (Former buyer)",0,0,0,0,1,1,0,0,hakers enterprise myanmar,MM2019091KSB54G,"Hakers Enterprise (Myanmar) Co., Ltd.",95.0
Hanboom (Myanmar),1,2024-08-05,3000.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Unfair dismissal', 'Harassment intimidation and abuse']",Honeys Holdings (Buyer),0,1,1,0,1,1,0,0,hanboom (myanmar),,,
Handa (Yangon) Myanmar,3,2024-02-25,5500.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Surveillance', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']","Active Brands (Reported buyer),Burtle (Buyer),Clique (part of New Wave Group) (Buyer),Craft (part of New Wave Group) (Buyer),Honeys Holdings (Former buyer),Kiabi (Former buyer),Lidl (Former buyer),Mizuno (Buyer),New Wave Group (Buyer),Next (Former buyer),United Athle (Buyer)",0,1,1,0,1,1,1,0,handa (yangon) myanmar,,,
Hanfex Garment,1,2024-03-16,700.0,"['Gender-based violence and harassment', 'Reduced wages and wage theft', 'Inhumane work rates and mandatory overtime', 'Denial of leave', 'Denial of permanent contracts', 'Unfair dismissal', 'Unsafe working conditions', 'Harassment intimidation and abuse']",,0,1,1,0,1,1,1,1,hanfex garment,,,
